target,include,include_display,resolved,occurrences,including_files,including_file_count,recursive_include_count,transitive_loc,total_cost,internal_includer_count
basic_test,cmath,cmath,False,7,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,crtdbg.h,crtdbg.h,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,cstddef,cstddef,False,9,subprojects/tools/subprojects/magic_enum-0.9.7/include/magic_enum/magic_enum.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,2,,,,2
basic_test,cstdint,cstdint,False,6,subprojects/tools/subprojects/magic_enum-0.9.7/include/magic_enum/magic_enum.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,2,,,,2
basic_test,cstdio,cstdio,False,6,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,cstdlib,cstdlib,False,2,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,cstring,cstring,False,7,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,ctime,ctime,False,3,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,exception,exception,False,7,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,fmt/format.h,fmt/format.h,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/include/magic_enum/magic_enum_format.hpp,1,,,,1
basic_test,format,format,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/include/magic_enum/magic_enum_format.hpp,1,,,,1
basic_test,fstream,fstream,False,4,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,functional,functional,False,4,subprojects/tools/subprojects/magic_enum-0.9.7/include/magic_enum/magic_enum.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,2,,,,2
basic_test,future,future,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,io.h,io.h,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,iomanip,iomanip,False,5,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,ios,ios,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,iosfwd,iosfwd,False,10,subprojects/tools/subprojects/magic_enum-0.9.7/include/magic_enum/magic_enum_iostream.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,2,,,,2
basic_test,iostream,iostream,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,iterator,iterator,False,5,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,limits,limits,False,5,subprojects/tools/subprojects/magic_enum-0.9.7/include/magic_enum/magic_enum.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,2,,,,2
basic_test,map,map,False,4,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,memory,memory,False,20,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,numeric,numeric,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,optional,optional,False,3,subprojects/tools/subprojects/magic_enum-0.9.7/include/magic_enum/magic_enum.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,2,,,,2
basic_test,ostream,ostream,False,8,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,random,random,False,3,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,ratio,ratio,False,2,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,regex,regex,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,set,set,False,6,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,signal.h,signal.h,False,2,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,sstream,sstream,False,12,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/test.cpp,2,,,,2
basic_test,stack,stack,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,stdexcept,stdexcept,False,3,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,string,string,False,34,subprojects/tools/subprojects/magic_enum-0.9.7/include/magic_enum/magic_enum.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,2,,,,2
basic_test,string_view,string_view,False,3,subprojects/tools/subprojects/magic_enum-0.9.7/include/magic_enum/magic_enum.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/test.cpp,3,,,,3
basic_test,sys/sysctl.h,sys/sysctl.h,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,sys/types.h,sys/types.h,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,tuple,tuple,False,4,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,type_traits,type_traits,False,12,subprojects/tools/subprojects/magic_enum-0.9.7/include/magic_enum/magic_enum.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,2,,,,2
basic_test,unistd.h,unistd.h,False,3,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,utility,utility,False,9,subprojects/tools/subprojects/magic_enum-0.9.7/include/magic_enum/magic_enum.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,2,,,,2
basic_test,variant,variant,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,vector,vector,False,28,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,windows.h,windows.h,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,AfxWin.h,AfxWin.h,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,TargetConditionals.h,TargetConditionals.h,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,algorithm,algorithm,False,22,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,android/log.h,android/log.h,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,array,array,False,2,subprojects/tools/subprojects/magic_enum-0.9.7/include/magic_enum/magic_enum.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/test_flags.cpp,2,,,,2
flags_test,atomic,atomic,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,cassert,cassert,False,16,subprojects/tools/subprojects/magic_enum-0.9.7/include/magic_enum/magic_enum.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,2,,,,2
flags_test,cctype,cctype,False,4,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/test_flags.cpp,2,,,,2
flags_test,cerrno,cerrno,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,cfloat,cfloat,False,3,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,chrono,chrono,False,5,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,ciso646,ciso646,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,cmath,cmath,False,7,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,crtdbg.h,crtdbg.h,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,cstddef,cstddef,False,9,subprojects/tools/subprojects/magic_enum-0.9.7/include/magic_enum/magic_enum.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,2,,,,2
flags_test,cstdint,cstdint,False,6,subprojects/tools/subprojects/magic_enum-0.9.7/include/magic_enum/magic_enum.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,2,,,,2
flags_test,cstdio,cstdio,False,6,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,cstdlib,cstdlib,False,2,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,cstring,cstring,False,7,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,ctime,ctime,False,3,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,exception,exception,False,7,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,fmt/format.h,fmt/format.h,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/include/magic_enum/magic_enum_format.hpp,1,,,,1
flags_test,format,format,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/include/magic_enum/magic_enum_format.hpp,1,,,,1
flags_test,fstream,fstream,False,4,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
